point_id,lat,lon,year,month,period,sms_cm_ewh
LAT-8.75_LON117.75,-8.75,117.75,2004,8,2004-08,
LAT-8.75_LON118.25,-8.75,118.25,2004,8,2004-08,
LAT-8.75_LON118.75,-8.75,118.75,2004,8,2004-08,22.614040796410645
LAT-8.75_LON119.25,-8.75,119.25,2004,8,2004-08,
LAT-8.25_LON115.75,-8.25,115.75,2004,8,2004-08,
LAT-8.25_LON116.25,-8.25,116.25,2004,8,2004-08,
LAT-8.25_LON116.75,-8.25,116.75,2004,8,2004-08,
LAT-8.25_LON117.25,-8.25,117.25,2004,8,2004-08,
LAT-8.25_LON117.75,-8.25,117.75,2004,8,2004-08,20.57630152167811
LAT-8.25_LON118.25,-8.25,118.25,2004,8,2004-08,
LAT-8.25_LON118.75,-8.25,118.75,2004,8,2004-08,
LAT-8.25_LON119.25,-8.25,119.25,2004,8,2004-08,
LAT-7.75_LON115.75,-7.75,115.75,2004,8,2004-08,
LAT-7.75_LON116.25,-7.75,116.25,2004,8,2004-08,
LAT-7.75_LON116.75,-7.75,116.75,2004,8,2004-08,
LAT-7.75_LON117.25,-7.75,117.25,2004,8,2004-08,
LAT-7.75_LON117.75,-7.75,117.75,2004,8,2004-08,
LAT-7.75_LON118.25,-7.75,118.25,2004,8,2004-08,
LAT-7.75_LON118.75,-7.75,118.75,2004,8,2004-08,
LAT-7.75_LON119.25,-7.75,119.25,2004,8,2004-08,
LAT-9.25_LON115.75,-9.25,115.75,2004,9,2004-09,
LAT-9.25_LON116.25,-9.25,116.25,2004,9,2004-09,
LAT-9.25_LON116.75,-9.25,116.75,2004,9,2004-09,
LAT-9.25_LON117.25,-9.25,117.25,2004,9,2004-09,
LAT-9.25_LON117.75,-9.25,117.75,2004,9,2004-09,
LAT-9.25_LON118.25,-9.25,118.25,2004,9,2004-09,
LAT-9.25_LON118.75,-9.25,118.75,2004,9,2004-09,
LAT-9.25_LON119.25,-9.25,119.25,2004,9,2004-09,
LAT-8.75_LON115.75,-8.75,115.75,2004,9,2004-09,
LAT-8.75_LON116.25,-8.75,116.25,2004,9,2004-09,21.333569561441728
LAT-8.75_LON116.75,-8.75,116.75,2004,9,2004-09,
LAT-8.75_LON117.25,-8.75,117.25,2004,9,2004-09,19.003724532961837
LAT-8.75_LON117.75,-8.75,117.75,2004,9,2004-09,
LAT-8.75_LON118.25,-8.75,118.25,2004,9,2004-09,
LAT-8.75_LON118.75,-8.75,118.75,2004,9,2004-09,21.52130401452384
LAT-8.75_LON119.25,-8.75,119.25,2004,9,2004-09,
LAT-8.25_LON115.75,-8.25,115.75,2004,9,2004-09,
LAT-8.25_LON116.25,-8.25,116.25,2004,9,2004-09,
LAT-8.25_LON116.75,-8.25,116.75,2004,9,2004-09,
LAT-8.25_LON117.25,-8.25,117.25,2004,9,2004-09,
LAT-8.25_LON117.75,-8.25,117.75,2004,9,2004-09,17.170979589541762
LAT-8.25_LON118.25,-8.25,118.25,2004,9,2004-09,
LAT-8.25_LON118.75,-8.25,118.75,2004,9,2004-09,
LAT-8.25_LON119.25,-8.25,119.25,2004,9,2004-09,
LAT-7.75_LON115.75,-7.75,115.75,2004,9,2004-09,
LAT-7.75_LON116.25,-7.75,116.25,2004,9,2004-09,
LAT-7.75_LON116.75,-7.75,116.75,2004,9,2004-09,
LAT-7.75_LON117.25,-7.75,117.25,2004,9,2004-09,
LAT-7.75_LON117.75,-7.75,117.75,2004,9,2004-09,
LAT-7.75_LON118.25,-7.75,118.25,2004,9,2004-09,
LAT-7.75_LON118.75,-7.75,118.75,2004,9,2004-09,
LAT-7.75_LON119.25,-7.75,119.25,2004,9,2004-09,
LAT-9.25_LON115.75,-9.25,115.75,2004,10,2004-10,
LAT-9.25_LON116.25,-9.25,116.25,2004,10,2004-10,
LAT-9.25_LON116.75,-9.25,116.75,2004,10,2004-10,
LAT-9.25_LON117.25,-9.25,117.25,2004,10,2004-10,
LAT-9.25_LON117.75,-9.25,117.75,2004,10,2004-10,
LAT-9.25_LON118.25,-9.25,118.25,2004,10,2004-10,
LAT-9.25_LON118.75,-9.25,118.75,2004,10,2004-10,
LAT-9.25_LON119.25,-9.25,119.25,2004,10,2004-10,
LAT-8.75_LON115.75,-8.75,115.75,2004,10,2004-10,
LAT-8.75_LON116.25,-8.75,116.25,2004,10,2004-10,20.95957894586747
LAT-8.75_LON116.75,-8.75,116.75,2004,10,2004-10,
LAT-8.75_LON117.25,-8.75,117.25,2004,10,2004-10,17.82324562434228
LAT-8.75_LON117.75,-8.75,117.75,2004,10,2004-10,
LAT-8.75_LON118.25,-8.75,118.25,2004,10,2004-10,
LAT-8.75_LON118.75,-8.75,118.75,2004,10,2004-10,20.97272907034041
LAT-8.75_LON119.25,-8.75,119.25,2004,10,2004-10,
LAT-8.25_LON115.75,-8.25,115.75,2004,10,2004-10,
LAT-8.25_LON116.25,-8.25,116.25,2004,10,2004-10,
LAT-8.25_LON116.75,-8.25,116.75,2004,10,2004-10,
LAT-8.25_LON117.25,-8.25,117.25,2004,10,2004-10,
LAT-8.25_LON117.75,-8.25,117.75,2004,10,2004-10,15.008441019865767
LAT-8.25_LON118.25,-8.25,118.25,2004,10,2004-10,
LAT-8.25_LON118.75,-8.25,118.75,2004,10,2004-10,
LAT-8.25_LON119.25,-8.25,119.25,2004,10,2004-10,
LAT-7.75_LON115.75,-7.75,115.75,2004,10,2004-10,
LAT-7.75_LON116.25,-7.75,116.25,2004,10,2004-10,
LAT-7.75_LON116.75,-7.75,116.75,2004,10,2004-10,
LAT-7.75_LON117.25,-7.75,117.25,2004,10,2004-10,
LAT-7.75_LON117.75,-7.75,117.75,2004,10,2004-10,
LAT-7.75_LON118.25,-7.75,118.25,2004,10,2004-10,
LAT-7.75_LON118.75,-7.75,118.75,2004,10,2004-10,
LAT-7.75_LON119.25,-7.75,119.25,2004,10,2004-10,
LAT-9.25_LON115.75,-9.25,115.75,2004,11,2004-11,
LAT-9.25_LON116.25,-9.25,116.25,2004,11,2004-11,
LAT-9.25_LON116.75,-9.25,116.75,2004,11,2004-11,
LAT-9.25_LON117.25,-9.25,117.25,2004,11,2004-11,
LAT-9.25_LON117.75,-9.25,117.75,2004,11,2004-11,
LAT-9.25_LON118.25,-9.25,118.25,2004,11,2004-11,
LAT-9.25_LON118.75,-9.25,118.75,2004,11,2004-11,
LAT-9.25_LON119.25,-9.25,119.25,2004,11,2004-11,
LAT-8.75_LON115.75,-8.75,115.75,2004,11,2004-11,
LAT-8.75_LON116.25,-8.75,116.25,2004,11,2004-11,24.369377803087243
LAT-8.75_LON116.75,-8.75,116.75,2004,11,2004-11,
LAT-8.75_LON117.25,-8.75,117.25,2004,11,2004-11,19.202704349001245
LAT-8.75_LON117.75,-8.75,117.75,2004,11,2004-11,
LAT-8.75_LON118.25,-8.75,118.25,2004,11,2004-11,
LAT-8.75_LON118.75,-8.75,118.75,2004,11,2004-11,21.177569419622426
LAT-8.75_LON119.25,-8.75,119.25,2004,11,2004-11,
LAT-8.25_LON115.75,-8.25,115.75,2004,11,2004-11,
LAT-8.25_LON116.25,-8.25,116.25,2004,11,2004-11,
LAT-8.25_LON116.75,-8.25,116.75,2004,11,2004-11,
LAT-8.25_LON117.25,-8.25,117.25,2004,11,2004-11,
LAT-8.25_LON117.75,-8.25,117.75,2004,11,2004-11,14.803714252432188
LAT-8.25_LON118.25,-8.25,118.25,2004,11,2004-11,
LAT-8.25_LON118.75,-8.25,118.75,2004,11,2004-11,
LAT-8.25_LON119.25,-8.25,119.25,2004,11,2004-11,
LAT-7.75_LON115.75,-7.75,115.75,2004,11,2004-11,
LAT-7.75_LON116.25,-7.75,116.25,2004,11,2004-11,
LAT-7.75_LON116.75,-7.75,116.75,2004,11,2004-11,
LAT-7.75_LON117.25,-7.75,117.25,2004,11,2004-11,
LAT-7.75_LON117.75,-7.75,117.75,2004,11,2004-11,
LAT-7.75_LON118.25,-7.75,118.25,2004,11,2004-11,
LAT-7.75_LON118.75,-7.75,118.75,2004,11,2004-11,
LAT-7.75_LON119.25,-7.75,119.25,2004,11,2004-11,
LAT-9.25_LON115.75,-9.25,115.75,2004,12,2004-12,
LAT-9.25_LON116.25,-9.25,116.25,2004,12,2004-12,
LAT-9.25_LON116.75,-9.25,116.75,2004,12,2004-12,
LAT-9.25_LON117.25,-9.25,117.25,2004,12,2004-12,
LAT-9.25_LON117.75,-9.25,117.75,2004,12,2004-12,
LAT-9.25_LON118.25,-9.25,118.25,2004,12,2004-12,
LAT-9.25_LON118.75,-9.25,118.75,2004,12,2004-12,
LAT-9.25_LON119.25,-9.25,119.25,2004,12,2004-12,
LAT-8.75_LON115.75,-8.75,115.75,2004,12,2004-12,
LAT-8.75_LON116.25,-8.75,116.25,2004,12,2004-12,42.20854225804729
LAT-8.75_LON116.75,-8.75,116.75,2004,12,2004-12,
LAT-8.75_LON117.25,-8.75,117.25,2004,12,2004-12,34.30746209375321
LAT-8.75_LON117.75,-8.75,117.75,2004,12,2004-12,
LAT-8.75_LON118.25,-8.75,118.25,2004,12,2004-12,
LAT-8.75_LON118.75,-8.75,118.75,2004,12,2004-12,25.795752253532417
LAT-8.75_LON119.25,-8.75,119.25,2004,12,2004-12,
LAT-8.25_LON115.75,-8.25,115.75,2004,12,2004-12,
LAT-8.25_LON116.25,-8.25,116.25,2004,12,2004-12,
LAT-8.25_LON116.75,-8.25,116.75,2004,12,2004-12,
LAT-8.25_LON117.25,-8.25,117.25,2004,12,2004-12,
LAT-8.25_LON117.75,-8.25,117.75,2004,12,2004-12,24.88530560231978
LAT-8.25_LON118.25,-8.25,118.25,2004,12,2004-12,
LAT-8.25_LON118.75,-8.25,118.75,2004,12,2004-12,
LAT-8.25_LON119.25,-8.25,119.25,2004,12,2004-12,
LAT-7.75_LON115.75,-7.75,115.75,2004,12,2004-12,
LAT-7.75_LON116.25,-7.75,116.25,2004,12,2004-12,
LAT-7.75_LON116.75,-7.75,116.75,2004,12,2004-12,
LAT-7.75_LON117.25,-7.75,117.25,2004,12,2004-12,
LAT-7.75_LON117.75,-7.75,117.75,2004,12,2004-12,
LAT-7.75_LON118.25,-7.75,118.25,2004,12,2004-12,
LAT-7.75_LON118.75,-7.75,118.75,2004,12,2004-12,
LAT-7.75_LON119.25,-7.75,119.25,2004,12,2004-12,
LAT-9.25_LON115.75,-9.25,115.75,2005,1,2005-01,
LAT-9.25_LON116.25,-9.25,116.25,2005,1,2005-01,
LAT-9.25_LON116.75,-9.25,116.75,2005,1,2005-01,
LAT-9.25_LON117.25,-9.25,117.25,2005,1,2005-01,
LAT-9.25_LON117.75,-9.25,117.75,2005,1,2005-01,
LAT-9.25_LON118.25,-9.25,118.25,2005,1,2005-01,
LAT-9.25_LON118.75,-9.25,118.75,2005,1,2005-01,
LAT-9.25_LON119.25,-9.25,119.25,2005,1,2005-01,
LAT-8.75_LON115.75,-8.75,115.75,2005,1,2005-01,
LAT-8.75_LON116.25,-8.75,116.25,2005,1,2005-01,40.78729031201331
LAT-8.75_LON116.75,-8.75,116.75,2005,1,2005-01,
LAT-8.75_LON117.25,-8.75,117.25,2005,1,2005-01,39.67626371599012
LAT-8.75_LON117.75,-8.75,117.75,2005,1,2005-01,
LAT-8.75_LON118.25,-8.75,118.25,2005,1,2005-01,
